Number,Title,Author,Status
2135,"Consumable Interface (Tickets, etc)",Zainan Victor Zhou,Final
2159,Common Prometheus Metrics Names for Clients,Adrian Sutton,Final
2200,Structured Definitions for Net Gas Metering,Wei Tang,Final
2228,Canonicalize the name of network ID 1 and chain ID 1,William Entriken,Final
2255,Wallet Permissions System,"Dan Finlay, Erik Marks, Gavin John",Final
2309,ERC-721 Consecutive Transfer Extension,Sean Papanikolas,Final
2364,eth/64: forkid-extended protocol handshake,"Péter Szilágyi, Péter Szilágyi, Tim Beiko",Final
2384,Muir Glacier Difficulty Bomb Delay,Eric Conner,Final
2387,Hardfork Meta: Muir Glacier,James Hancock,Final
2464,eth/65: transaction announcements and retrievals,"Péter Szilágyi, Péter Szilágyi, Gary Rong, Tim Beiko",Final
2481,eth/66 request identifier,Christoph Burgdorf,Final
2535,"Diamonds, Multi-Facet Proxy",Nick Mudge,Final
2565,ModExp Gas Cost,"Kelly Olson, Sean Gulley, Simon Peffers, Justin Drake, Dankrad Feist",Final
2612,Permit Extension for EIP-20 Signed Approvals,Martin Lundfall,Final
2678,Revised Ethereum Smart Contract Packaging Standard (EthPM v3),"g. nicholas dâandrea, Piper Merriam, Nick Gheorghita, Christian Reitwiessner, Ben Hauser, Bryant Eisenbach",Final
2681,Limit account nonce to 2^64-1,Alex Beregszaszi,Final
2696,JavaScript `request` method RPC transport,"Micah Zoltu, Erik Marks",Final
2700,JavaScript Provider Event Emitter,"Micah Zoltu, Erik Marks",Final
2718,Typed Transaction Envelope,Micah Zoltu,Final
2771,Secure Protocol for Native Meta Transactions,"Ronan Sandford, Liraz Siri, Dror Tirosh, Yoav Weiss, Alex Forshtat, Hadrien Croubois, Sachin Tomar, Patrick McCorry, Nicolas Venturo, Fabian Vogelsteller, Gavin John",Final
2929,Gas cost increases for state access opcodes,"Vitalik Buterin, Martin Swende",Final
2930,Optional access lists,"Vitalik Buterin, Martin Swende",Final
2976,Typed Transactions over Gossip,Micah Zoltu,Final
2981,NFT Royalty Standard,"Zach Burks, James Morgan, Blaine Malone, James Seibel",Final
2982,Serenity Phase 0,"Danny Ryan, Vitalik Buterin",Final
3156,Flash Loans,"Alberto Cuesta Caí±ada, Fiona Kobayashi, fubuloubu, Austin Williams",Final
3198,BASEFEE opcode,"Abdelhamid Bakhta, Vitalik Buterin",Final
3448,MetaProxy Standard,pinkiebell,Final
3475,Abstract Storage Bonds,"Yu Liu, Varun Deshpande, Cedric Ngakam, Dhruv Malik, Samuel Gwlanold Edoumou, Toufic Batrice",Final
3525,Semi-Fungible Token,"Will Wang, Mike Meng, Yi Cai , Ryan Chow, Zhongxin Wu, AlvisDu",Final
