Number,Title,Author,Status
7808,Reserve Tx-Type Range for RIPs,"Carl Beekhuizen, Yoav Weiss, Ansgar Dietrichs",Review
7823,Set upper bounds for MODEXP,"Alex Beregszaszi, Radoslaw Zagorowicz",Review
7830,Contract size limit increase for EOF,"Alex Beregszaszi, Danno Ferrin",Review
7837,Diffusive Tokens,James Savechives,Review
7870,Hardware and Bandwidth Recommendations,"Parithosh Jayanthi, Kevaundray Wedderburn, Josh Rudolf, Dankrad Feist, Justin Traglia, Ignacio Hagopian, George Kadianakis, Fredrik Svantes, Carl Beekhuizen, Toni Wahrstí¤tter",Review
725,General data key/value store and execution,"Fabian Vogelsteller, Tyler Yasaka",Draft
838,ABI specification for REVERT reason string,"Federico Bond, Renan Rodrigues de Souza",Draft
998,Composable Non-Fungible Token,"Matt Lockyer, Nick Mudge, Jordan Schalm, sebastian echeverry, Zainan Victor Zhou",Draft
1202,Voting Interface,"Zainan Victor Zhou, Evan, Yin Xu",Draft
3770,Chain-specific addresses,"Lukas Schor, Richard Meissner, Pedro Gomes, ligi",Draft
4337,Account Abstraction Using Alt Mempool,"Vitalik Buterin, Yoav Weiss, Dror Tirosh, Shahaf Nacson, Alex Forshtat, Kristof Gazso, Tjaden Hess",Draft
4762,Statelessness gas cost changes,"Guillaume Ballet, Vitalik Buterin, Dankrad Feist, Ignacio Hagopian, Tanishq Jasoria, Gajinder Singh",Draft
4883,Composable SVG NFT,"Andrew B Coathup, Alex, Damian Martinelli, blockdev, Austin Griffith",Draft
4972,Name-Owned Account,"Shu Dong, Qi Zhou, Zihao Chen",Draft
5115,SY Token,"Vu Nguyen, Long Vuong, Anton Buenavista",Draft
5173,NFT Future Rewards (nFR),"Yale ReiSoleil, dRadiant, D Wang, PhD",Draft
5189,Account Abstraction via Endorsed Operations,"Agustí­n Aguilar, Philippe Castonguay, Michael Standen",Draft
5485,"Legitimacy, Jurisdiction and Sovereignty",Zainan Victor Zhou,Draft
5573,"Sign-In with Ethereum Capabilities, ReCaps","Oliver Terbu, Jacob Ward, Charles Lehner, Sam Gbafa, Wayne Chang, Charles Cunningham",Draft
5604,NFT Lien,"Zainan Victor Zhou, Allen Zhou, Alex Qin",Draft
5630,New approach for encryption / decryption,"Firn Protocol, Fried L. Trout, Weiji Guo",Draft
5700,Bindable Token Interface,Leeren,Draft
5727,Semi-Fungible Soulbound Token,"Austin Zhu, Terry Chen",Draft
5791,Physical Backed Tokens,"2pmflow, locationtba, Cameron Robertson, cygaar, Brian Weick, vectorized, djdabs",Draft
5920,PAY opcode,"Gavin John, Zainan Victor Zhou, Sam Wilson",Draft
6123,Smart Derivative Contract,"Christian Fries, Peter Kohl-Landgraf, Alexandros Korpis",Draft
6170,Cross-Chain Messaging Interface,Sujith Somraaj,Draft
6229,Tokenized Vaults with Lock-in Period,"Anderson Chen, Martinet Lee, Anton Cheng",Draft
6327,Elastic Signature,George,Draft
6404,SSZ transactions,"Etan Kissling, Gajinder Singh, Vitalik Buterin",Draft
6465,SSZ withdrawals root,"Etan Kissling, Mikhail Kalinin",Draft
6466,SSZ receipts,"Etan Kissling, Gajinder Singh, Vitalik Buterin",Draft
6493,SSZ transaction signature scheme,"Etan Kissling, Gajinder Singh, Matt Garnett, Vitalik Buterin",Draft
6604,Abstract Token,Chris Walker ,Draft
6662,AA Account Metadata For Authentication,"Shu Dong, Zihao Chen, Peter Chen",Draft
6682,NFT Flashloans,out.eth,Draft
6690,EVM Modular Arithmetic Extensions,"Jared Wasinger, Alex Beregszaszi, Vitalik Buterin, RadosÅaw Zagórowicz, PaweÅ Bylica",Draft
6785,ERC-721 Utilities Information Extension,"Otniel Nicola, Bogdan Popa",Draft
6786,Registry for royalties payment for NFTs,"Otniel Nicola, Bogdan Popa",Draft
6787,Order Book DEX with Two Phase Withdrawal,"Jessica, Roy, Jun",Draft
6800,Ethereum state using a unified verkle tree,"Vitalik Buterin, Dankrad Feist, Kevaundray Wedderburn, Guillaume Ballet, Piper Merriam, Gottfried Herold, Ignacio Hagopian, Tanishq Jasoria, Gajinder Singh, Danno Ferrin",Draft
6806,ERC-721 Holding Time Tracking,"Saitama, Combo, Luigi",Draft
6821,Support ENS Name for Web3 URL,"Qi Zhou, Qiang Zhu",Draft
6823,Token Mapping Slot Retrieval Extension,qdqd ,Draft
6860,Web3 URL to EVM Call Message Translation,"Qi Zhou, Chao Pi, Sam Wilson, Nicolas Deschildre",Draft
6864,Upgradable Fungible Token,Jeff Huang,Draft
6865,On-Chain EIP-712 Visualization,Abderrahmen Hanafi,Draft
6888,Arithmetic verification at EVM level,Renan Rodrigues de Souza,Draft
6900,Modular Smart Contract Accounts,"Adam Egyed, Fangting Liu, Jay Paik, Yoav Weiss, Huawei Gu, Daniel Lim, Ruben Koch, David Philipson, Howy Ho, Nikita Belenkov, zer0dot, David Kim",Draft
6932,Subscription-Based Token,"360 Core, Robin Rajput",Draft
6944,ERC-5219 Resolve Mode,"Gavin John, Qi Zhou",Draft
6960,Dual Layer Token,"Adam Boudjemaa, Mohamad Hammoud, Nawar Hisso, Khawla Hassan, Mohammad Zakeri Rad, Ashish Sood",Draft
6981,Reserved Ownership Accounts,"Paul Sullivan , Wilkins Chung , Kartik Patel ",Draft
7085,NFT Relationship Enhancement,Guang,Draft
7087,MIME type for Web3 URL in Auto Mode,"Qi Zhou, Nicolas Deschildre",Draft
7093,Social Recovery Interface,"John Zhang, Davis Xiang, Kyle Xu, George Zhang",Draft
7196,"Simple token, Simplified ERC-20","Xiang, Ben77, Mingshi S.",Draft
7204,Contract wallet management token,"Xiang, Ben77, Mingshi S.",Draft
7246,Encumber - Splitting Ownership & Guarantees,"Coburn Berry, Mykel Pereira, Scott Silver",Draft
7254,Token Revenue Sharing,"Quy Phan, Quy Phan",Draft
7272,Ethereum Access Token,"Chris Chung, Raphael Roullet",Draft
7280,NFT Metadata Extension like JSON-LD,Yohei Nishikubo,Draft
7291,Purpose bound money,"Orchid-Dev, Victor Liew, Wong Tse Jian, Jacob Shan, Chin Sin Ong",Draft
7303,Token-Controlled Token Circulation,Ko Fujimura,Draft
7390,Vanilla Options for ERC-20 Tokens,"Ewan Humbert , Lassi Maksimainen ",Draft
7399,â¡ Flash Loans â¡,"Alberto Cuesta Caí±ada, Michael Amadi, Devtooligan, Ultrasecr.eth, Sam Bacha",Draft
7405,Portable Smart Contract Accounts,Aaron Yee,Draft
7406,Multi-Namespace Onchain Registry,"Mengshi Zhang, Zihao Chen",Draft
7410,ERC-20 Update Allowance By Spender,"Mohammad Zakeri Rad, Adam Boudjemaa, Mohamad Hammoud",Draft
7412,On-Demand Off-Chain Data Retrieval,"Noah Litvin, db",Draft
7425,Tokenized Reserve,Jimmy Debe,Draft
7444,Time Locks Maturity,"Thanh Trinh , Joshua Weintraub , Rob Montgomery ",Draft
7484,Registry Extension for ERC-7579,"Konrad Kopp, zeroknots",Draft
7496,NFT Dynamic Traits,"Adam Montgomery, Ryan Ghods, 0age, James Wenzel, Stephan Min",Draft
7498,NFT Redeemables,"Ryan Ghods, 0age, Adam Montgomery, Stephan Min",Draft
7503,Zero-Knowledge Wormholes,"Keyvan Kambakhsh, Hamid Bateni, Amir Kahoori, Nobitex Labs, 0xwormhole",Draft
7506,Trusted Hint Registry,"Philipp Bolte, Dennis von der Bey, Lauritz Leifermann",Draft
7507,Multi-User NFT Extension,"Ming Jiang, Zheng Han, Fan Yang",Draft
7508,Dynamic On-Chain Token Attributes Repository,"Steven Pineda, Jan Turk",Draft
7509,Entity Component System,Rickey,Draft
7510,Cross-Contract Hierarchical NFT,"Ming Jiang, Zheng Han, Fan Yang",Draft
7511,Minimal Proxy Contract with PUSH0,"0xAA, vectorized, 0age",Draft
7512,Onchain Representation for Audits,"Richard Meissner - Safe, Robert Chen - OtterSec, Matthias Egli - ChainSecurity, Jan Kalivoda - Ackee Blockchain, Michael Lewellen - OpenZeppelin, Shay Zluf - Hats Finance, Alex Papageorgiou - Omniscia",Draft
7513,Smart NFT - A Component for Intent-Centric,"MJ Tseng , Clay , Jeffery.c, Johnny.c",Draft
7517,Content Consent for AI/ML Data Mining,"Bofu Chen, Tammy Yang",Draft
7518,Dynamic Compliant Interop Security Token,"Abhinav , Prithvish Baidya , Rajat Kumar , Prasanth Kalangi",Draft
7519,Atomic Storage Operations SCREDIT and SDEBIT,Danno Ferrin,Draft
7521,General Intents for Smart Contract Wallets,"Stephen Monn, Bikem Bengisu",Draft
7522,OIDC ZK Verifier for AA Account,"Shu Dong , Yudao Yan, Song Z, Kai Chen",Draft
7524,PLUME Signature in Wallets,"Yush G , Kobi Gurkan, Richard Liu, Vivek Bhupatiraju, Barry Whitehat",Draft
7527,Token Bound Function Oracle AMM,"Elaine Zhang , Jerry, Amandafanny, Shouhao Wong , 0xPoet",Draft
7529,Contract Discovery and eTLD+1 Association,"Todd Chapman, Charlie Sibbach, Sean Sing",Draft
7533,Public Cross Port,"George, Zisu",Draft
7538,Multiplicative Tokens,Gavin John,Draft
7546,Upgradeable Clone for Scalable Contracts,"Shogo Ochiai , Kai Hiroi ",Draft
7548,Open IP Protocol built on NFTs,"Combo, Saitama, CT29, Luigi",Draft
7555,Single Sign-On for Account Discovery,"Alexander Müller, Gregory Markou, Willem Olding, Belma Gutlic, Marin PetruniÄ, Pedro Gomes",Draft
7557,Block-level Warming with fair cost savings,"Yoav Weiss, Alex Forshtat, Dror Tirosh, Shahaf Nacson",Draft
7561,"Simple NFT, Simplified ERC-721","Xiang, Ben77, Mingshi S.",Draft
7562,Account Abstraction Validation Scope Rules,"Yoav Weiss, Dror Tirosh, Alex Forshtat, Shahaf Nacson",Draft
7564,Contract wallet management NFT,"Xiang, Ben77, Mingshi S.",Draft
7565,Perpetual Contract NFTs as Collateral,"Hyoungsung Kim , Yong-Suk Park, Hyun-Sik Kim",Draft
7566,Multiplayer Game Communication,Rickey,Draft
7572,Contract-level metadata via `contractURI()`,"Devin Finzer, Alex Atallah, Ryan Ghods",Draft
7573,Conditional-upon-Transfer-Decryption for DvP,"Christian Fries, Peter Kohl-Landgraf",Draft
7579,Minimal Modular Smart Accounts,"zeroknots, Konrad Kopp, Taek Lee, Fil Makarov, Elim Poon, Lyu Min",Draft
7580,Advertisement Tracking Interface,wart,Draft
7582,Modular Accounts with Delegated Validation,"Shivanshi Tyagi, Ross Campbell",Draft
7585,MixHash and Public Data Storage Proofs,"Liu Zhicong, William Entriken, Wei Qiushi, Si Changjun",Draft
7589,Semi-Fungible Token Roles,"Ernani Sí£o Thiago, Daniel Lima",Draft
7595,Collateralized NFT,"571nKY, Cosmos, f4t50, Harpocrates",Draft
7597,Signature Validation Extension for Permit,"Yvonne Zhang, Aloysius Chan",Draft
7598,Use contract signature for signed transfer,"Yvonne Zhang, Aloysius Chan",Draft
7603,ERC-1155 Multi-Asset extension,Haru,Draft
7604,ERC-1155 Permit Approvals,"calvbore, emiliolanzalaco",Draft
7607,Hardfork Meta - Fusaka,Tim Beiko,Draft
7612,Verkle state transition via an overlay tree,"Guillaume Ballet, Ansgar Dietrichs, Ignacio Hagopian, Gottfried Herold, Jamie Lokier, Tanishq Jasoria, Parithosh Jayanthi, Gabriel Rocheleau, Karim Taam",Draft
7613,Puppet Proxy Contract,Igor Å»uk,Draft
7615,Atomic Push-based Data Feed Among Contracts,"Elaine Zhang , Jerry, Amandafanny, Shouhao Wong , Doris Che , Henry Yuan ",Draft
7617,Chunk support for ERC-5219 mode in Web3 URL,"Qi Zhou, Nicolas Deschildre",Draft
7618,Content encoding in ERC-5219 mode Web3 URL,"Qi Zhou, Nicolas Deschildre",Draft
7621,Basket Token,"Dominic Ryder, Callum Mitchell-Clark , Joey van Etten, Michael Ryder",Draft
7629,ERC-20/ERC-721 Unified Token Interface,"0xZeus1111, Nvuwa",Draft
7632,Interfaces for Named Token,Zainan Victor Zhou,Draft
7634,Limited Transfer Count NFT,"Qin Wang, Saber Yu, Shiping Chen",Draft
7638,Batch Calls Encoding in SCA,"George, Zisu",Draft
7639,eth/70 - Cease serving history before PoS,lightclient,Draft
7641,Intrinsic RevShare Token,"Conway, Cathie So, Xiaohang Yu, Suning Yao, Kartin",Draft
7644,ERC-721 Name Registry Extension,Chen Liaoyuan,Draft
7649,Bonding curve-embedded liquidity for NFTs,"Arif Khan, Ahmad Matyana, Basil Gorin, Vijay Bhayani",Draft
7651,Fractionally Represented Non-Fungible Token,"Acme, Calder",Draft
7654,Request Method Types,Rickey,Draft
7662,AI Agent NFTs,Greg Marlin,Draft
7667,Raise gas costs of hash functions,Vitalik Buterin,Draft
7673,Distinguishable base256emoji Addresses,William Morriss,Draft
7674,Temporary Approval Extension for ERC-20,"Xenia Shape, Mikhail Melnik, Hadrien Croubois",Draft
7679,UserOperation Builder,"Derek Chiang, Garvit Khatri, Fil Makarov, Kristof Gazso, Derek Rein, Tomas Rocchi, bumblefudge",Draft
7681,Dual Nature Multi Token Protocol,Sennett Lau,Draft
7682,Auxiliary Funds Capability,"Lukas Rosario, Wilson Cusack",Draft
7683,Cross Chain Intents,"Mark Toda, Matt Rice, Nick Pai",Draft
7694,Solana Storage Router,"Avneet Singh, 0xc0de4c0ffee",Draft
7695,Ownership Delegation and Context for ERC-721,Duc Tho Tran,Draft
7699,ERC-20 Transfer Reference Extension,Radek Svarz,Draft
7700,Cross-chain Storage Router Protocol,"Avneet Singh, 0xc0de4c0ffee, Nick Johnson, Makoto Inoue",Draft
7701,Native Account Abstraction with EOF,"Vitalik Buterin, Yoav Weiss, Alex Forshtat, Dror Tirosh, Shahaf Nacson",Draft
7703,Increase calldata cost,William Morriss,Draft
7708,ETH transfers emit a log,"Vitalik Buterin, Peter Davies",Draft
7709,Read BLOCKHASH from storage and update cost,"Vitalik Buterin, Tomasz Stanczak, Guillaume Ballet, Gajinder Singh, Tanishq Jasoria, Ignacio Hagopian, Jochem Brouwer, Gabriel Rocheleau",Draft
7710,Smart Contract Delegation,"Ryan McPeck, Dan Finlay, Rob Dawson, Derek Chiang",Draft
7715,Grant Permissions from Wallets,"Luka Isailovic, Derek Rein, Dan Finlay, Derek Chiang, Fil Makarov, Pedro Gomes, Conner Swenberg, Lukas Rosario",Draft
7720,Deferred Token Transfer,Chen Liaoyuan ,Draft
7721,Lockable Extension for ERC-1155,Piyush Chittara,Draft
7722,Opaque Token,"Ivica AraÄiÄ, Ante BeÅ¡liÄ, Mirko KataniÄ, SWIAT",Draft
7726,Common Quote Oracle,"alcueca, ruvaag, totomanov, r0ohafza",Draft
7729,Token with Metadata,msfew,Draft
7730,Structured Data Clear Signing Format,Laurent Castillo,Draft
7732,Enshrined Proposer-Builder Separation,"Francesco D'Amato, Barnabé Monnot, Michael Neuder, Potuz, Terence Tsao",Draft
7738,Permissionless Script Registry,"Victor Zhang, James Brown",Draft
7739,Readable Typed Signatures for Smart Accounts,"vectorized, Sihoon Lee, Francisco Giordano, Hadrien Croubois, Ernesto Garcí­a, Im Juno, howydev, Atarpara, 0xcuriousapple",Draft
7741,Authorize Operator,"Jeroen Offerijns, Joí£o Martins",Draft
7745,Light client and DHT friendly log index,Zsolt Felföldi,Draft
7748,State conversion to Verkle Tree,"Guillaume Ballet, Ignacio Hagopian, Gajinder Singh, Ansgar Dietrichs, Gottfried Herold, Jamie Lokier, Tanishq Jasoria, Parithosh Jayanthi, Gabriel Rocheleau, Karim Taam",Draft
7749,Add wallet_signIntendedValidatorData method,"Yamen Merhi, Patronum Labs",Draft
7754,Tamperproof Web Immutable Transaction (TWIT),"Erik Marks, Guillaume Grosbois",Draft
7756,EOF/EVM Trace Specification,"Martin Holst Swende, Marius van der Wijden, Danno Ferrin",Draft
7760,Minimal Upgradeable Proxies,"Atarpara, JT Riley, Thomas, xiaobaiskill, Vectorized",Draft
7761,EXTCODETYPE instruction,"Andrei Maiboroda, Piotr Dobaczewski, Danno Ferrin",Draft
7765,Privileged Non-Fungible Tokens Tied To RWA,frank ,Draft
7766,Signature Aggregation for ERC-4337,"Vitalik Buterin, Yoav Weiss, Dror Tirosh, Shahaf Nacson, Alex Forshtat",Draft
7768,No-Ether transactions with free-for-all tips,William Entriken,Draft
7769,JSON-RPC API for ERC-4337,"Vitalik Buterin, Yoav Weiss, Dror Tirosh, Shahaf Nacson, Alex Forshtat",Draft
7773,Hardfork Meta - Amsterdam,Tim Beiko,Draft
7774,Cache invalidation in ERC-5219 mode Web3 URL,"Nicolas Deschildre, Sam Wilson",Draft
7775,BURN opcode,Dev Bear,Draft
7776,Transparent Financial Statements,Ignacio Ceaglio ,Draft
7778,Prevent Block Gas Smuggling,Ben Adams,Draft
7779,Interoperable Delegated Accounts,"David Kim, Richard Meissner, Akshay Patel, Joshua Kim, Fangting, Yoav Weiss",Draft
7780,Validation Module Extension for ERC-7579,"zeroknots, Konrad Kopp, Taek Lee, Fil Makarov",Draft
7782,Reduce Slot Time for Lower Peak Bandwidth,Ben Adams,Draft
7783,Add Controlled Gas Limit Increase Strategy,Giulio Rebuffo,Draft
7785,Onchain registration of chain identifiers,"Marco Stronati, Jeff Lau",Draft
7786,Cross-Chain Messaging Gateway,"Francisco Giordano, Hadrien Croubois, Ernesto Garcia, CJ Cobb, Sergey Gorbunov",Draft
7787,Soulbound Degradable Governance,"Guilherme Neves, Rafael Castaneda",Draft
7788,Dynamic target blob count,Marc Harvey-Hill,Draft
7790,Controlled Gas Limit Increase Guidelines,"Giulio Rebuffo, Ben Adams",Draft
7791,GAS2ETH opcode,"Charles Cooper, Pascal Caversaccio",Draft
7792,Verifiable logs,"Etan Kissling, Gajinder Singh, Vitalik Buterin",Draft
7793,TXINDEX precompile,"Marc Harvey-Hill, Ahmad Bitar",Draft
7794,Grant Registry,Guilherme Neves,Draft
7795,Wallet Call Token Capabilities,"Agustí­n Aguilar, Michael Standen, Peter Kieltyka, William Hua, Philippe Castonguay",Draft
7796,Conditional send transaction RPC,"Dror Tirosh, Yoav Weiss, Alex Forshtat, Shahaf Nacson",Draft
7797,Double speed for hash_tree_root,Etan Kissling,Draft
7799,System logs,"Etan Kissling, Gajinder Singh",Draft
7801,etha - Sharded Blocks Subprotocol,"Ahmad Bitar , Giulio Rebuffo, Gary Schulte ",Draft
7802,Crosschain Token Interface,"skeletor, parti, joxes, ng, agus duha, disco, gotzen, 0age, Mark Tyneway, Zain Bacchus, Matt Solomon, Maurelian, Blaine Malone",Draft
7803,EIP-712 Extensions for Account Abstraction,Francisco Giordano,Draft
7804,Withdrawal Credential Update Request,"Lucas Saldanha, Mikhail Kalinin",Draft
7805,Fork-choice enforced Inclusion Lists (FOCIL),"Thomas Thiery , Francesco D'Amato, Julian Ma, Barnabé Monnot, Terence Tsao, Jacob Kaufmann, Jihoon Song",Draft
7807,SSZ execution blocks,"Etan Kissling, Gajinder Singh",Draft
7811,Wallet Asset Discovery,"Luka Isailovic, Konrad Kopp, Derek Rein, Chris Smith",Draft
7812,ZK Identity Registry,"Artem Chystiakov , Oleksandr Kurbatov, Yaroslav Panasenko, Michael Elliot , Vitalik Buterin",Draft
7813,"Store, Table-Based Introspectable Storage","alvarius, dk1a, frolic, ludens, vdrg, yonada",Draft
7819,Create delegate,"Hadrien Croubois, Danno Ferrin",Draft
7821,Minimal Batch Executor Interface,"Vectorized, Jake Moxey, Hadrien Croubois",Draft
7825,Transaction Gas Limit Cap,Giulio Rebuffo,Draft
7829,Data Asset NFT,"Allen Dong, Lonika Zhang, Steven He",Draft
7831,Multi-Chain Addressing,Sam Wilson ,Draft
7833,Scheduled function calls,"Keyvan Kambakhsh, Nobitex Labs",Draft
7834,Separate Metadata Section for EOF,"Kaan Uzdogan, Marco Castignoli, Manuel Wedler",Draft
7843,SLOT precompile,Marc Harvey-Hill,Draft
7851,Deactivate/Reactivate a Delegated EOA's Key,Liyi Guo,Draft
7856,Chain-Specific Payment Requests,Jack Chuma,Draft
7858,Expirable NFTs and SBTs,"sirawt, ADISAKBOONMARK, parametprame, Nacharoen",Draft
7862,Delayed Execution Layer State Root,"Charlie Noyes, Dan Robinson, Justin Drake, Toni Wahrstí¤tter",Draft
7863,Block-level Warming,"Toni Wahrstí¤tter, Jochem Brouwer, Alex Stokes, Ansgar Dietrichs",Draft
7864,Ethereum state using a unified binary tree,"Vitalik Buterin, Guillaume Ballet, Dankrad Feist, Ignacio Hagopian, Kevaundray Wedderburn, Tanishq Jasoria, Gajinder Singh, Danno Ferrin, Piper Merriam, Gottfried Herold",Draft
7867,Flow Control Wallet Call Capability,Sam Wilson ,Draft
7872,Max blob flag for local builders,"Francesco D'Amato, Kevaundray Wedderburn, Toni Wahrstí¤tter, Alex Stokes, Ben Adams, Gajinder Singh, Dustin",Draft
7873,EOF - TXCREATE and InitcodeTransaction type,"Piotr Dobaczewski, Andrei Maiboroda, PaweÅ Bylica, Alex Beregszaszi, Danno Ferrin",Draft
7877,Enhanced RETURN opcodes,Josh Weintraub,Draft
7880,EOF - EXTCODEADDRESS instruction,Danno Ferrin,Draft
7883,ModExp Gas Cost Increase,"Marcin Sobczak, Marek MoraczyÅski, Marcos Maceo",Draft
7884,Operation Router,"Lucas Picollo, Alex Netto, Nick Johnson",Draft
7886,Delayed execution,"Francesco D`Amato, Toni Wahrstí¤tter",Draft
7887,Cancelation for ERC-7540 Tokenized Vaults,"Jeroen Offerijns, Vikram Arun",Draft
7889,Emit log on revert,"Shoham Chakraborty, Alex Forshtat",Draft
7892,Blob Parameter Only Hardforks,Mark Mackey,Draft
7896,ABI attachment in `wallet_sendCalls`,Francisco Giordano,Draft
7898,Uncouple execution payload from beacon block,Gajinder Singh,Draft
7903,Remove Initcode Size Limit,Charles Cooper,Draft
7907,Meter Contract Code Size And Increase Limit,"Charles Cooper, Qi Zhou",Draft
7910,eth_config JSON-RPC Method,Danno Ferrin,Draft
7915,Adaptive mean reversion blob pricing,Anders Elowsson,Draft
7916,SSZ ProgressiveList,"Zsolt Felföldi, Cayman",Draft
7917,Deterministic proposer lookahead,"Lin Oshitani , Justin Drake ",Draft
7918,Blob base fee bounded by execution cost,Anders Elowsson,Draft
7919,Pureth Meta,"Etan Kissling, Gajinder Singh",Draft
7921,Skip `JUMPDEST` immediate argument check,William Morriss,Draft
86,Abstraction of transaction origin and signature,Vitalik Buterin,Stagnant
101,Serenity Currency and Crypto Abstraction,Vitalik Buterin,Stagnant
107,"safe ""eth_sendTransaction"" authorization via html popup",Ronan Sandford,Stagnant
205,ENS support for contract ABIs,Nick Johnson,Stagnant
210,Blockhash refactoring,Vitalik Buterin,Stagnant
233,Formal process of hard forks,Alex Beregszaszi,Stagnant
615,Subroutines and Static Jumps for the EVM,"Greg Colvin, Brooklyn Zelenka, PaweÅ Bylica, Christian Reitwiessner",Stagnant
616,SIMD Operations for the EVM,Greg Colvin,Stagnant
634,Storage of text records in ENS,Richard Moore,Stagnant
665,Add precompiled contract for Ed25519 signature verification,Tobias Oberstein,Stagnant
689,Address Collision of Contract Address Causes Exceptional Halt,Yoichi Hirai,Stagnant
698,OPCODE 0x46 BLOCKREWARD,Cody Burns,Stagnant
758,Subscriptions and filters for completed transactions,Jack Peterson,Stagnant
801,Canary Standard,ligi,Stagnant
823,Token Exchange Standard,Kashish Khullar,Stagnant
831,URI Format for Ethereum,ligi,Stagnant
858,Reduce block reward and delay difficulty bomb,Carl Larson,Stagnant
867,Standardized Ethereum Recovery Proposals,"Dan Phifer, James Levy, Reuben Youngblom",Stagnant
884,DGCL Token,Dave Sag,Stagnant
897,DelegateProxy,"Jorge Izquierdo, Manuel Araoz",Stagnant
900,Simple Staking Interface,"Dean Eigenmann, Jorge Izquierdo",Stagnant
902,Token Validation,"Brooklyn Zelenka, Tom Carchrae, Gleb Naumenko",Stagnant
918,Mineable Token Standard,"Jay Logelin, Infernal_toast, Michael Seiler, Brandon Grill",Stagnant
926,Address metadata registry,Nick Johnson,Stagnant
927,Generalised authorisations,Nick Johnson,Stagnant
969,Modifications to ethash to invalidate existing dedicated hardware implementations,David Stanfill,Stagnant
1010,Uniformity Between 0xAb5801a7D398351b8bE11C439e05C5B3259aeC9B and 0x15E55EF43efA8348dDaeAa455F16C43B64917e3c,Anderson Wesley,Stagnant
1011,Hybrid Casper FFG,"Danny Ryan, Chih-Cheng Liang",Stagnant
1015,Configurable On Chain Issuance,Alex Van de Sande,Stagnant
1051,Overflow checking for the EVM,Nick Johnson,Stagnant
1056,Ethereum Lightweight Identity,"Pelle Braendgaard, Joel Torstensson",Stagnant
1057,"ProgPoW, a Programmatic Proof-of-Work","Greg Colvin, Andrea Lanfranchi, Michael Carter, IfDefElse",Stagnant
1062,Formalize IPFS hash into ENS(Ethereum Name Service) resolver,"Phyrex Tsai, Portal Network Team",Stagnant
1066,Status Codes,"Brooklyn Zelenka, Tom Carchrae, Gleb Naumenko",Stagnant
1077,Gas relay for contract calls,"Alex Van de Sande, Ricardo Guilherme Schmidt",Stagnant
1078,Universal login / signup using ENS subdomains,Alex Van de Sande,Stagnant
1080,Recoverable Token,Bradley Leatherwood,Stagnant
1081,Standard Bounties,"Mark Beylin, Kevin Owocki, Ricardo Guilherme Schmidt",Stagnant
1087,Net gas metering for SSTORE operations,Nick Johnson,Stagnant
1102,Opt-in account exposure,"Paul Bouchon, Erik Marks",Stagnant
1109,PRECOMPILEDCALL opcode (Remove CALL costs for precompiled contracts),Jordi Baylina,Stagnant
1129,Standardised DAPP announcements,Jan Turk,Stagnant
1132,Extending ERC20 with token locking capability,nitika-goel,Stagnant
1175,Wallet & shop standard for all tokens (erc20),Jet Lim,Stagnant
1178,Multi-class Token Standard,Albert Chon,Stagnant
1186,RPC-Method to get Merkle Proofs - eth_getProof,"Simon Jentzsch, Christoph Jentzsch",Stagnant
1203,ERC-1203 Multi-Class Token Standard (ERC-20 Extension),"Jeff Huang, Min Zu",Stagnant
1207,DAuth Access Delegation Standard,"Xiaoyu Wang, Bicong Wang",Stagnant
1227,Defuse Difficulty Bomb and Reset Block Reward,SmeargleUsedFly,Stagnant
1261,Membership Verification Token (MVT),"Chaitanya Potti, Partha Bhattacharya",Stagnant
1276,Eliminate Difficulty Bomb and Adjust Block Reward on Constantinople Shift,EOS Classic,Stagnant
1285,Increase Gcallstipend gas in the CALL opcode,"Ben Kaufman, Adam Levi",Stagnant
1295,Modify Ethereum PoW Incentive Structure and Delay Difficulty Bomb,Brian Venturo,Stagnant
1319,Smart Contract Package Registry Interface,"Piper Merriam, Christopher Gewecke, g. nicholas d'andrea, Nick Gheorghita",Stagnant
1337,Subscriptions on the blockchain,"Kevin Owocki, Andrew Redden, Scott Burke, Kevin Seagraves, Luka Kacil, Å tefan Å imec, Piotr KosiÅski, ankit raj, John Griffin, Nathan Creswell",Stagnant
1352,Specify restricted address range for precompiles/system contracts,Alex Beregszaszi,Stagnant
1380,Reduced gas cost for call to self,"Alex Beregszaszi, Jacques Wagener",Stagnant
1386,Attestation management contract,"Weiwu Zhang, James Sangalli",Stagnant
1387,Merkle Tree Attestations with Privacy enabled,"Weiwu Zhang, James Sangalli",Stagnant
1388,Attestation Issuers Management List,"Weiwu Zhang, James Sangalli",Stagnant
1417,Poll Standard,"Chaitanya Potti, Partha Bhattacharya",Stagnant
1418,Blockchain Storage Rent Payment,William Entriken,Stagnant
1438,dApp Components (avatar) & Universal Wallet,Jet Lim,Stagnant
1444,Localized Messaging with Signal-to-Text,"Brooklyn Zelenka, Jennifer Cooper",Stagnant
1450,ERC-1450 A compatible security token for issuing and trading SEC-compliant securities,"John Shiple, Howard Marks, David Zhang",Stagnant
1459,Node Discovery via DNS,"Felix Lange, Péter Szilágyi",Stagnant
1462,Base Security Token,"Maxim Kupriianov, Julian Svirsky",Stagnant
1470,Smart Contract Weakness Classification (SWC),Gerhard Wagner,Stagnant
1474,Remote procedure call specification,"Paul Bouchon, Erik Marks",Stagnant
