Number,Date,Title,Author,Status
117,22/01/2024,Explicit script return values,Michael Peyton Jones,Active
119,07/02/2024,Governance metadata - DReps,Thomas Upfield,Proposed
120,19/03/2024,Constitution specification,"Ryan Williams, Danielle Stanko",Proposed
121,17/11/2023,Integer-ByteString conversions,"Koz Ross, Ilia Rodionov, Jeff Cheah",Active
122,03/05/2024,Logical operations over BuiltinByteString,Koz Ross,Active
123,16/05/2024,Bitwise operations over BuiltinByteString,Koz Ross,Active
124,19/03/2023,Extend token metadata for translations,"Vito Melchionna, Aaron Schmid, Carolina Isler @LaPetiteADA",Proposed
127,22/05/2024,ripemd-160 hashing in Plutus Core,Tomasz Rybarczy,Active
128,01/02/2024,Preserving Order of Transaction Inputs,Jonathan Rodriguez,Proposed
129,15/07/2024,Governance Identifiers,Ashish Prajapati,Proposed
133,22/08/2024,Plutus support for Multi-Scalar Multiplication over BLS12-381,"Dmytro Kaidalov, Adam Smolarek, Thomas Vellekoop",Proposed
134,23/08/2024,Cardano URIs - Address Representation,Steven Johnson,Proposed
135,17/06/2024,Disaster Recovery Plan for Cardano networks,"Kevin Hammond, Sam Leathers, Alex Moser, Steve Wagendorp, Andrew Westberg, Nicholas Clarke",Active
136,17/07/2024,Governance metadata - Constitutional Committee votes,"Ryan Williams, Eystein Magnus Hansen",Proposed
137,02/08/2024,Decentralized Message Queue,"Jean-Philippe Raynaud, Arnaud Bailly, Marcin Szamotulski, Armando Santos, Neil Davies, Sebastian Nagel",Proposed
138,18/09/2024,Plutus Core Builtin Type - `Array`,"Michael Peyton Jones, Ana Pantilie",Proposed
140,15/08/2024,Ouroboros Peras - Faster Settlement,"Arnaud Bailly, Brian W. Bush, Sandro Coretti-Drayton, Yves Hauser, Hans Lahe",Proposed
143,03/12/2024,Interoperable Programmable Tokens,Philip DiSarro,Inactive (incorporated into candidate CIP-0113)
381,11/02/2022,Plutus support for Pairings over BLS12-381,Iñigo Querejeta-Azurmendi,Active
1694,18/11/2022,A First Step Towards On-Chain Decentralized Governance,"Jared Corduan, Andre Knispel, Matthias Benkort, Kevin Hammond, Charles Hoskinson, Samuel Leathers",Active
1852,28/10/2019,HD (Hierarchy for Deterministic) Wallets for Cardano,"Sebastien Guillemot, Matthias Benkort",Active
1853,14/12/2020,HD (Hierarchy for Deterministic) Stake Pool Cold Keys for Cardano,Rafael Korbas,Proposed
1854,23/02/2021,Multi-signatures HD Wallets,"Matthias Benkort, Pawel Jakubas",Active
1855,02/06/2021,Forging policy keys for HD Wallets,"Samuel Leathers, John Lotoski, Michael Bishop, David Arnold",Proposed
9999,14/10/2022,Cardano Problem Statements,"Matthias Benkort, Michael Peyton Jones",Active
